Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
18-21,18,Some college/university study without earning a bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
18-21,18,Bachelor's degree,Student,5-10 years,Under 1 year,0.5,,
18-21,18,Bachelor's degree,Student,3-5 years,Under 1 year,0.1,,
18-21,18,Bachelor's degree,Student,1-2 years,Under 1 year,0.3,,
18-21,18,Bachelor's degree,Student,1-2 years,Under 1 year,0.8,,
18-21,18,Bachelor's degree,Student,1-2 years,Under 1 year,0.0,,
18-21,18,Bachelor's degree,Currently not employed,< 1 years,Under 1 year,0.9,,
18-21,18,Bachelor's degree,Student,< 1 years,Under 1 year,0.3,,
18-21,18,Bachelor's degree,Student,< 1 years,Under 1 year,0.3,,
18-21,18,Master's degree,Student,1-2 years,Under 1 year,0.6,,
18-21,18,Master's degree,Student,< 1 years,Under 1 year,0.1,,
18-21,18,Master's degree,Student,1-2 years,Under 1 year,0.4,,
18-21,18,Some college/university study without earning a bachelor's degree,Student,3-5 years,Under 1 year,0.2,,
18-21,18,Some college/university study without earning a bachelor's degree,Student,1-2 years,Under 1 year,0.8,,
18-21,18,Bachelor's degree,Student,< 1 years,,,,
18-21,18,Bachelor's degree,Student,1-2 years,,,,
18-21,18,Bachelor's degree,Student,1-2 years,,,,
18-21,18,Bachelor's degree,Student,3-5 years,,,,
18-21,18,Bachelor's degree,Student,1-2 years,,,,
18-21,18,Bachelor's degree,Software Engineer,1-2 years,,,,
18-21,18,Some college/university study without earning a bachelor's degree,Student,1-2 years,,,,
18-21,18,Some college/university study without earning a bachelor's degree,Student,< 1 years,,,,
18-21,19,Bachelor's degree,Student,3-5 years,1-2 years,1,,
18-21,19,Some college/university study without earning a bachelor's degree,Student,5-10 years,2-3 years,2,,
18-21,19,Bachelor's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
18-21,19,Bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
18-21,19,Bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
18-21,19,Some college/university study without earning a bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
18-21,19,Bachelor's degree,Student,1-2 years,Under 1 year,0.1,,
18-21,19,Bachelor's degree,Student,1-2 years,Under 1 year,0.9,,
18-21,19,Bachelor's degree,Student,3-5 years,Under 1 year,0.3,,
18-21,19,Bachelor's degree,Student,< 1 years,Under 1 year,0.1,,
18-21,19,Bachelor's degree,Student,1-2 years,Under 1 year,0.1,,
18-21,19,Some college/university study without earning a bachelor's degree,Student,5-10 years,Under 1 year,0.4,,
18-21,19,Some college/university study without earning a bachelor's degree,Student,1-2 years,Under 1 year,0.3,,
18-21,19,Bachelor's degree,Other,1-2 years,,,,
18-21,19,Bachelor's degree,,,,,,
18-21,19,Some college/university study without earning a bachelor's degree,Student,3-5 years,,,,
18-21,19,Some college/university study without earning a bachelor's degree,Student,3-5 years,,,,
18-21,20,Bachelor's degree,Student,3-5 years,1-2 years,1,,
18-21,20,Master's degree,Student,5-10 years,2-3 years,2,,
18-21,20,Bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
18-21,20,Bachelor's degree,Machine Learning Engineer,1-2 years,I do not use machine learning methods,0,,
18-21,20,Bachelor's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
18-21,20,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
18-21,20,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
18-21,20,Bachelor's degree,Student,3-5 years,Under 1 year,0.9,,
18-21,20,Bachelor's degree,Student,3-5 years,Under 1 year,0.8,,
18-21,20,Bachelor's degree,Student,3-5 years,Under 1 year,0.6,,
18-21,20,Bachelor's degree,Student,1-2 years,Under 1 year,0.9,,
18-21,20,Bachelor's degree,Student,1-2 years,Under 1 year,0.6,,
18-21,20,Bachelor's degree,Student,1-2 years,Under 1 year,0.8,,
18-21,20,Master's degree,Student,1-2 years,Under 1 year,0.1,,
18-21,20,Bachelor's degree,Student,< 1 years,,,,
18-21,20,Bachelor's degree,Student,< 1 years,,,,
18-21,20,Bachelor's degree,Student,1-2 years,,,,
18-21,20,Bachelor's degree,Student,I have never written code,,,,
18-21,20,Bachelor's degree,Student,3-5 years,,,,
18-21,20,Bachelor's degree,Student,1-2 years,,,,
18-21,20,Bachelor's degree,Data Engineer,1-2 years,,,,
18-21,20,Bachelor's degree,Student,3-5 years,,,,
18-21,20,Master's degree,Student,5-10 years,,,,
18-21,20,Master's degree,Student,1-2 years,,,,
18-21,20,No formal education past high school,Student,I have never written code,,,,
18-21,20,Some college/university study without earning a bachelor's degree,Student,3-5 years,,,,
18-21,20,Some college/university study without earning a bachelor's degree,Other,5-10 years,,,,
18-21,20,Some college/university study without earning a bachelor's degree,Student,< 1 years,,,,
18-21,20,Some college/university study without earning a bachelor's degree,Student,I have never written code,,,,
18-21,21,Bachelor's degree,Student,3-5 years,1-2 years,1,,
18-21,21,Bachelor's degree,Student,3-5 years,1-2 years,2,,
18-21,21,Master's degree,Student,3-5 years,1-2 years,1,,
18-21,21,Bachelor's degree,Software Engineer,5-10 years,2-3 years,2,,
18-21,21,Bachelor's degree,Student,5-10 years,2-3 years,2,,
18-21,21,Bachelor's degree,Student,3-5 years,2-3 years,3,,
18-21,21,Bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
18-21,21,Bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
18-21,21,Bachelor's degree,Student,3-5 years,Under 1 year,0.6,,
18-21,21,Bachelor's degree,Student,< 1 years,Under 1 year,0.3,,
18-21,21,Bachelor's degree,Student,1-2 years,Under 1 year,0.7,,
18-21,21,Bachelor's degree,Student,1-2 years,Under 1 year,0.3,,
18-21,21,Bachelor's degree,Student,1-2 years,Under 1 year,0.2,,
18-21,21,Bachelor's degree,Student,3-5 years,Under 1 year,0.4,,
18-21,21,Bachelor's degree,Student,3-5 years,Under 1 year,0.7,,
18-21,21,Bachelor's degree,Student,1-2 years,Under 1 year,0.0,,
18-21,21,Master's degree,Student,3-5 years,Under 1 year,0.2,,
18-21,21,Some college/university study without earning a bachelor's degree,Student,1-2 years,Under 1 year,0.8,,
18-21,21,Some college/university study without earning a bachelor's degree,Student,3-5 years,Under 1 year,1.0,,
18-21,21,Some college/university study without earning a bachelor's degree,Student,1-2 years,Under 1 year,0.9,,
18-21,21,Bachelor's degree,Data Scientist,1-2 years,,,,
18-21,21,I prefer not to answer,,,,,,
18-21,21,Some college/university study without earning a bachelor's degree,Student,1-2 years,,,,
18-21,21,Some college/university study without earning a bachelor's degree,Student,5-10 years,,,,
22-24,22,Master's degree,Data Analyst,1-2 years,2-3 years,2,$0-999,513
22-24,22,Master's degree,Data Scientist,3-5 years,1-2 years,1,$0-999,576
22-24,24,Master's degree,Data Scientist,I have never written code,,,$0-999,10
22-24,24,Master's degree,Data Analyst,5-10 years,1-2 years,2,$0-999,516
22-24,24,Master's degree,Data Analyst,3-5 years,2-3 years,3,$0-999,812
22-24,24,Master's degree,Machine Learning Engineer,3-5 years,2-3 years,2,$0-999,892
22-24,23,Master's degree,Other,3-5 years,3-4 years,4,"1,000-1,999",1332
22-24,22,Master's degree,Business Analyst,3-5 years,1-2 years,1,"10,000-14,999",14483
22-24,23,Bachelor's degree,Other,3-5 years,1-2 years,1,"10,000-14,999",14823
22-24,23,Bachelor's degree,Research Scientist,3-5 years,1-2 years,2,"100,000-124,999",106285
22-24,23,Master's degree,Other,1-2 years,Under 1 year,0.1,"100,000-124,999",108252
22-24,23,Master's degree,Software Engineer,3-5 years,1-2 years,1,"100,000-124,999",118449
22-24,24,Bachelor's degree,Software Engineer,5-10 years,1-2 years,1,"100,000-124,999",109139
22-24,24,Bachelor's degree,Data Scientist,3-5 years,1-2 years,1,"100,000-124,999",111163
22-24,24,Master's degree,Data Scientist,3-5 years,3-4 years,3,"100,000-124,999",113602
22-24,24,Master's degree,Research Scientist,10-20 years,1-2 years,2,"100,000-124,999",118002
22-24,24,Bachelor's degree,Business Analyst,1-2 years,Under 1 year,0.8,"100,000-124,999",120662
22-24,22,Bachelor's degree,Data Scientist,1-2 years,1-2 years,1,"125,000-149,999",132422
22-24,22,Master's degree,Data Scientist,3-5 years,4-5 years,5,"125,000-149,999",139072
22-24,22,Bachelor's degree,Data Scientist,3-5 years,1-2 years,1,"125,000-149,999",145290
22-24,22,Bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"125,000-149,999",145476
22-24,23,Bachelor's degree,Data Analyst,1-2 years,I do not use machine learning methods,0,"125,000-149,999",145005
22-24,22,Master's degree,Data Scientist,1-2 years,1-2 years,1,"150,000-199,999",189356
22-24,23,Bachelor's degree,Data Scientist,3-5 years,Under 1 year,0.5,"20,000-24,999",20950
22-24,24,Bachelor's degree,Data Analyst,3-5 years,2-3 years,3,"25,000-29,999",28951
22-24,22,Master's degree,Business Analyst,< 1 years,Under 1 year,0.7,"30,000-39,999",30966
22-24,22,Bachelor's degree,Other,5-10 years,3-4 years,3,"30,000-39,999",39486
22-24,24,Master's degree,Data Analyst,3-5 years,Under 1 year,0.9,"30,000-39,999",37890
22-24,22,Master's degree,Data Scientist,3-5 years,2-3 years,3,"40,000-49,999",43793
22-24,23,Bachelor's degree,Other,3-5 years,3-4 years,4,"40,000-49,999",42043
22-24,23,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.2,"40,000-49,999",46216
22-24,24,Master's degree,Machine Learning Engineer,3-5 years,1-2 years,2,"40,000-49,999",45821
22-24,24,Bachelor's degree,Data Analyst,< 1 years,Under 1 year,0.1,"40,000-49,999",47595
22-24,22,Master's degree,Business Analyst,3-5 years,Under 1 year,0.7,"5,000-7,499",7540
22-24,24,Master's degree,Software Engineer,3-5 years,2-3 years,3,"5,000-7,499",7780
22-24,22,Bachelor's degree,Business Analyst,I have never written code,,,"50,000-59,999",55702
22-24,22,Master's degree,Machine Learning Engineer,5-10 years,1-2 years,2,"50,000-59,999",55808
22-24,22,Bachelor's degree,Product/Project Manager,1-2 years,I do not use machine learning methods,0,"50,000-59,999",56412
22-24,23,Some college/university study without earning a bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"50,000-59,999",51335
22-24,23,Master's degree,Data Analyst,1-2 years,1-2 years,2,"50,000-59,999",54947
22-24,23,Bachelor's degree,Other,3-5 years,Under 1 year,0.7,"50,000-59,999",57970
22-24,23,Bachelor's degree,Software Engineer,3-5 years,1-2 years,1,"50,000-59,999",58670
22-24,23,Master's degree,Data Analyst,1-2 years,Under 1 year,0.6,"50,000-59,999",59287
22-24,24,Bachelor's degree,Research Scientist,3-5 years,2-3 years,3,"50,000-59,999",50386
22-24,24,Master's degree,Research Scientist,5-10 years,3-4 years,3,"50,000-59,999",57797
22-24,24,Master's degree,Statistician,3-5 years,1-2 years,2,"50,000-59,999",57997
22-24,24,Bachelor's degree,Other,3-5 years,1-2 years,2,"50,000-59,999",58495
22-24,22,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.8,"60,000-69,999",64932
22-24,23,Bachelor's degree,Business Analyst,3-5 years,Under 1 year,0.4,"60,000-69,999",61351
22-24,23,Master's degree,Business Analyst,3-5 years,1-2 years,2,"60,000-69,999",62241
22-24,23,Bachelor's degree,Data Analyst,3-5 years,1-2 years,2,"60,000-69,999",63076
22-24,23,Master's degree,Data Scientist,1-2 years,Under 1 year,0.1,"60,000-69,999",63691
22-24,23,Master's degree,Software Engineer,3-5 years,1-2 years,1,"60,000-69,999",63915
22-24,23,Master's degree,Data Analyst,3-5 years,1-2 years,2,"60,000-69,999",69262
22-24,24,Master's degree,Business Analyst,1-2 years,1-2 years,2,"60,000-69,999",63604
22-24,24,Bachelor's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,"60,000-69,999",69786
22-24,22,Bachelor's degree,Data Analyst,3-5 years,2-3 years,3,"70,000-79,999",72409
22-24,22,Bachelor's degree,Other,1-2 years,Under 1 year,0.8,"70,000-79,999",75518
22-24,22,Bachelor's degree,Software Engineer,5-10 years,1-2 years,1,"70,000-79,999",76143
22-24,22,Bachelor's degree,Data Analyst,I have never written code,,,"70,000-79,999",77334
22-24,22,Bachelor's degree,Data Scientist,3-5 years,2-3 years,3,"70,000-79,999",78783
22-24,23,Master's degree,Data Analyst,5-10 years,1-2 years,1,"70,000-79,999",79524
22-24,24,Master's degree,Software Engineer,5-10 years,Under 1 year,0.4,"70,000-79,999",76735
22-24,24,Bachelor's degree,Software Engineer,3-5 years,1-2 years,2,"70,000-79,999",78103
22-24,22,Bachelor's degree,Software Engineer,3-5 years,2-3 years,2,"80,000-89,999",81234
22-24,22,Master's degree,Data Analyst,3-5 years,1-2 years,2,"80,000-89,999",81816
22-24,22,Master's degree,Software Engineer,5-10 years,2-3 years,3,"80,000-89,999",88484
22-24,23,Bachelor's degree,Business Analyst,3-5 years,Under 1 year,0.5,"80,000-89,999",81723
22-24,23,Bachelor's degree,Data Analyst,< 1 years,Under 1 year,0.9,"80,000-89,999",89690
22-24,24,Master's degree,Data Analyst,1-2 years,Under 1 year,0.7,"80,000-89,999",82780
22-24,24,Bachelor's degree,Data Analyst,5-10 years,2-3 years,3,"80,000-89,999",82892
22-24,23,Master's degree,Data Analyst,3-5 years,1-2 years,1,"90,000-99,999",91979
22-24,23,Master's degree,Data Analyst,1-2 years,Under 1 year,0.8,"90,000-99,999",95649
22-24,23,Bachelor's degree,Software Engineer,5-10 years,2-3 years,2,"90,000-99,999",97667
22-24,24,Bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.3,"90,000-99,999",91979
22-24,24,Bachelor's degree,Data Analyst,3-5 years,1-2 years,1,"90,000-99,999",93383
22-24,24,Bachelor's degree,Machine Learning Engineer,3-5 years,1-2 years,1,"90,000-99,999",96504
22-24,24,Bachelor's degree,Data Scientist,3-5 years,Under 1 year,0.5,"90,000-99,999",97311
22-24,22,Bachelor's degree,Student,3-5 years,1-2 years,1,,
22-24,22,Bachelor's degree,Student,5-10 years,1-2 years,2,,
22-24,22,Master's degree,Student,3-5 years,1-2 years,2,,
22-24,22,Master's degree,Student,1-2 years,1-2 years,1,,
22-24,22,Master's degree,Student,3-5 years,1-2 years,1,,
22-24,22,Master's degree,Student,3-5 years,1-2 years,1,,
22-24,22,Master's degree,Student,1-2 years,1-2 years,2,,
22-24,22,Master's degree,Student,1-2 years,2-3 years,2,,
22-24,22,Bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
22-24,22,Doctoral degree,Student,3-5 years,I do not use machine learning methods,0,,
22-24,22,Master's degree,Student,1-2 years,I do not use machine learning methods,0,,
22-24,22,Master's degree,Student,< 1 years,I do not use machine learning methods,0,,
22-24,22,Some college/university study without earning a bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
22-24,22,Bachelor's degree,Student,< 1 years,Under 1 year,0.6,,
22-24,22,Bachelor's degree,Student,1-2 years,Under 1 year,0.5,,
22-24,22,Bachelor's degree,Student,3-5 years,Under 1 year,0.4,,
22-24,22,Bachelor's degree,Student,3-5 years,Under 1 year,0.7,,
22-24,22,Doctoral degree,Student,3-5 years,Under 1 year,0.4,,
22-24,22,Master's degree,Student,3-5 years,Under 1 year,0.8,,
22-24,22,Master's degree,Student,1-2 years,Under 1 year,0.7,,
22-24,22,Master's degree,Student,3-5 years,Under 1 year,0.8,,
22-24,22,Master's degree,Student,1-2 years,Under 1 year,0.2,,
22-24,22,Master's degree,Student,3-5 years,Under 1 year,0.9,,
22-24,22,Master's degree,Student,1-2 years,Under 1 year,0.5,,
22-24,22,Master's degree,Currently not employed,3-5 years,Under 1 year,0.7,,
22-24,22,Master's degree,Student,3-5 years,Under 1 year,0.7,,
22-24,22,Master's degree,Student,1-2 years,Under 1 year,0.7,,
22-24,22,Master's degree,Student,3-5 years,Under 1 year,1.0,,
22-24,22,Bachelor's degree,Other,3-5 years,,,,
22-24,22,Bachelor's degree,Student,3-5 years,,,,
22-24,22,Master's degree,Student,1-2 years,,,,
22-24,22,Master's degree,Business Analyst,3-5 years,,,,
22-24,22,Some college/university study without earning a bachelor's degree,Student,< 1 years,,,,
22-24,22,Some college/university study without earning a bachelor's degree,Student,I have never written code,,,,
22-24,23,Bachelor's degree,Student,3-5 years,1-2 years,1,,
22-24,23,Bachelor's degree,Student,3-5 years,1-2 years,1,,
22-24,23,Doctoral degree,Student,5-10 years,1-2 years,1,,
22-24,23,Master's degree,Data Scientist,1-2 years,1-2 years,2,,
22-24,23,Master's degree,Student,3-5 years,1-2 years,1,,
22-24,23,Bachelor's degree,Currently not employed,3-5 years,2-3 years,2,,
22-24,23,Bachelor's degree,Student,3-5 years,2-3 years,3,,
22-24,23,Master's degree,Student,3-5 years,2-3 years,3,,
22-24,23,Bachelor's degree,Currently not employed,3-5 years,3-4 years,4,,
22-24,23,Bachelor's degree,Data Scientist,5-10 years,3-4 years,4,,
22-24,23,Master's degree,Student,3-5 years,3-4 years,3,,
22-24,23,Bachelor's degree,Software Engineer,< 1 years,I do not use machine learning methods,0,,
22-24,23,Master's degree,Student,< 1 years,I do not use machine learning methods,0,,
22-24,23,Bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.9,,
22-24,23,Bachelor's degree,Currently not employed,< 1 years,Under 1 year,0.4,,
22-24,23,Bachelor's degree,Student,< 1 years,Under 1 year,0.6,,
22-24,23,Bachelor's degree,Student,< 1 years,Under 1 year,0.1,,
22-24,23,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,0.0,,
22-24,23,Master's degree,Student,3-5 years,Under 1 year,0.7,,
22-24,23,Some college/university study without earning a bachelor's degree,Student,< 1 years,Under 1 year,0.2,,
22-24,23,Bachelor's degree,Data Analyst,,,,,
22-24,23,Bachelor's degree,Student,3-5 years,,,,
22-24,23,Bachelor's degree,Student,I have never written code,,,,
22-24,23,Bachelor's degree,Data Scientist,3-5 years,,,,
22-24,23,Bachelor's degree,Research Scientist,3-5 years,,,,
22-24,23,Master's degree,Data Analyst,3-5 years,,,,
22-24,23,Master's degree,Student,,,,,
22-24,23,Master's degree,Student,1-2 years,,,,
22-24,23,Master's degree,Student,1-2 years,,,,
22-24,23,Master's degree,Student,< 1 years,,,,
22-24,24,Bachelor's degree,Currently not employed,3-5 years,1-2 years,1,,
22-24,24,Bachelor's degree,Student,1-2 years,1-2 years,2,,
22-24,24,Bachelor's degree,Currently not employed,3-5 years,1-2 years,1,,
22-24,24,Bachelor's degree,Student,3-5 years,1-2 years,1,,
22-24,24,Doctoral degree,Student,1-2 years,1-2 years,2,,
22-24,24,Master's degree,Student,3-5 years,1-2 years,2,,
22-24,24,Master's degree,Student,3-5 years,1-2 years,1,,
22-24,24,Master's degree,Student,3-5 years,1-2 years,2,,
22-24,24,Master's degree,Student,3-5 years,1-2 years,2,,
22-24,24,Master's degree,Student,1-2 years,1-2 years,1,,
22-24,24,Master's degree,Student,5-10 years,1-2 years,1,,
22-24,24,Master's degree,Student,1-2 years,1-2 years,2,,
22-24,24,Bachelor's degree,Student,3-5 years,2-3 years,3,,
22-24,24,Doctoral degree,Student,5-10 years,2-3 years,3,,
22-24,24,Master's degree,Student,3-5 years,2-3 years,3,,
22-24,24,Some college/university study without earning a bachelor's degree,Student,5-10 years,2-3 years,2,,
22-24,24,Bachelor's degree,Currently not employed,5-10 years,I do not use machine learning methods,0,,
22-24,24,Bachelor's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
22-24,24,Some college/university study without earning a bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
22-24,24,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
22-24,24,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,1.0,,
22-24,24,Bachelor's degree,Student,1-2 years,Under 1 year,0.2,,
22-24,24,Bachelor's degree,Currently not employed,3-5 years,Under 1 year,0.8,,
22-24,24,Bachelor's degree,Student,3-5 years,Under 1 year,0.0,,
22-24,24,Bachelor's degree,Student,1-2 years,Under 1 year,0.3,,
22-24,24,Bachelor's degree,Student,3-5 years,Under 1 year,0.9,,
22-24,24,Bachelor's degree,Statistician,< 1 years,Under 1 year,0.3,,
22-24,24,Doctoral degree,Student,3-5 years,Under 1 year,0.1,,
22-24,24,Master's degree,Student,1-2 years,Under 1 year,0.7,,
22-24,24,Master's degree,Currently not employed,< 1 years,Under 1 year,0.3,,
22-24,24,Master's degree,Currently not employed,1-2 years,Under 1 year,0.3,,
22-24,24,Master's degree,Student,< 1 years,Under 1 year,0.9,,
22-24,24,Master's degree,Student,3-5 years,Under 1 year,0.6,,
22-24,24,Master's degree,Student,< 1 years,Under 1 year,0.1,,
22-24,24,Master's degree,Student,3-5 years,Under 1 year,0.0,,
22-24,24,Master's degree,Student,3-5 years,Under 1 year,0.7,,
22-24,24,Bachelor's degree,Business Analyst,3-5 years,,,,
22-24,24,Bachelor's degree,,,,,,
22-24,24,Master's degree,Data Analyst,3-5 years,,,,
22-24,24,Master's degree,Student,< 1 years,,,,
22-24,24,Master's degree,Student,3-5 years,,,,
22-24,24,Master's degree,,,,,,
22-24,24,Master's degree,,,,,,
22-24,24,Master's degree,Other,I have never written code,,,,
25-29,25,Master's degree,Data Scientist,1-2 years,1-2 years,2,$0-999,282
25-29,26,Master's degree,Data Scientist,3-5 years,Under 1 year,0.7,$0-999,21
25-29,26,Bachelor's degree,Other,I have never written code,,,$0-999,343
25-29,26,Master's degree,Data Analyst,< 1 years,Under 1 year,0.4,$0-999,921
25-29,27,Bachelor's degree,Data Scientist,5-10 years,1-2 years,1,$0-999,918
25-29,28,Bachelor's degree,Data Scientist,< 1 years,Under 1 year,0.9,$0-999,296
25-29,25,Bachelor's degree,Software Engineer,1-2 years,1-2 years,2,"1,000-1,999",1796
25-29,25,Master's degree,Data Engineer,5-10 years,4-5 years,4,"10,000-14,999",13282
25-29,26,Master's degree,Data Scientist,3-5 years,1-2 years,1,"10,000-14,999",11596
25-29,27,Master's degree,Other,< 1 years,Under 1 year,0.6,"10,000-14,999",12173
25-29,28,Master's degree,Data Scientist,3-5 years,3-4 years,4,"10,000-14,999",14519
25-29,25,Master's degree,Data Scientist,3-5 years,2-3 years,3,"100,000-124,999",100917
25-29,25,Bachelor's degree,Data Analyst,3-5 years,1-2 years,2,"100,000-124,999",102444
25-29,25,Master's degree,Machine Learning Engineer,3-5 years,1-2 years,1,"100,000-124,999",104811
25-29,25,Master's degree,Data Engineer,3-5 years,2-3 years,2,"100,000-124,999",106590
25-29,25,Master's degree,Machine Learning Engineer,5-10 years,4-5 years,4,"100,000-124,999",107440
25-29,25,Master's degree,Data Scientist,1-2 years,Under 1 year,0.4,"100,000-124,999",112243
25-29,25,Master's degree,Data Scientist,3-5 years,3-4 years,3,"100,000-124,999",113745
25-29,25,Master's degree,Other,3-5 years,3-4 years,3,"100,000-124,999",122194
25-29,25,Master's degree,Data Scientist,1-2 years,2-3 years,2,"100,000-124,999",122756
25-29,26,Bachelor's degree,Machine Learning Engineer,5-10 years,1-2 years,2,"100,000-124,999",100501
25-29,26,Master's degree,Data Scientist,5-10 years,3-4 years,4,"100,000-124,999",100829
25-29,26,Master's degree,Machine Learning Engineer,10-20 years,3-4 years,4,"100,000-124,999",101453
25-29,26,Bachelor's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"100,000-124,999",102793
25-29,26,Some college/university study without earning a bachelor's degree,Machine Learning Engineer,3-5 years,1-2 years,1,"100,000-124,999",103114
25-29,26,Master's degree,Data Scientist,3-5 years,1-2 years,1,"100,000-124,999",104221
25-29,26,Bachelor's degree,Data Scientist,5-10 years,4-5 years,5,"100,000-124,999",106254
25-29,26,Master's degree,Data Analyst,5-10 years,5-10 years,8,"100,000-124,999",109024
25-29,26,Master's degree,Data Analyst,1-2 years,1-2 years,1,"100,000-124,999",112192
25-29,26,Master's degree,Data Scientist,1-2 years,1-2 years,1,"100,000-124,999",115479
25-29,26,Master's degree,Data Scientist,5-10 years,Under 1 year,0.5,"100,000-124,999",118287
25-29,27,Master's degree,Data Scientist,5-10 years,2-3 years,2,"100,000-124,999",112360
25-29,27,Bachelor's degree,Data Scientist,3-5 years,3-4 years,4,"100,000-124,999",116335
25-29,27,Master's degree,Business Analyst,1-2 years,1-2 years,1,"100,000-124,999",118306
25-29,27,Master's degree,Software Engineer,< 1 years,1-2 years,2,"100,000-124,999",121835
25-29,28,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"100,000-124,999",103198
25-29,28,Master's degree,Data Scientist,3-5 years,3-4 years,3,"100,000-124,999",107586
25-29,28,Master's degree,Data Scientist,5-10 years,2-3 years,3,"100,000-124,999",118480
25-29,28,Bachelor's degree,Data Scientist,10-20 years,3-4 years,4,"100,000-124,999",119223
25-29,28,Master's degree,Data Scientist,3-5 years,3-4 years,3,"100,000-124,999",123317
25-29,29,Master's degree,Business Analyst,3-5 years,1-2 years,1,"100,000-124,999",101163
25-29,29,Bachelor's degree,Other,3-5 years,2-3 years,3,"100,000-124,999",103033
25-29,29,Bachelor's degree,Machine Learning Engineer,5-10 years,2-3 years,2,"100,000-124,999",106938
25-29,29,Master's degree,Data Scientist,1-2 years,2-3 years,3,"100,000-124,999",107108
